name,address,lat,lng,Upso,SalesAmt,FlowPop,EmpEop,AbodePop,EmpAvgCo
고양풍동DT,경기 고양시 일산동구 풍동 148-3,37.6628115,126.8027062,3개,"3,170만원","53,753명","6,649명","15,377명",335만원
고양원당DT점,경기 고양시 덕양구 주교동 610-4,37.6559796,126.8351623,2개,"26,390만원","117,298명","17,005명","28,540명",320만원
고양삼송DT,경기 고양시 덕양구 동산동 74-1,37.6445183,126.8960646,4개,"2,830만원","109,857명","9,043명","9,035명",332만원
고양덕이DT,경기 고양시 일산서구 덕이동 304-3,37.699185,126.759431,3개,"3,178만원","95,028명","9,284명","29,464명",326만원
구리인창 DT,경기 구리시 인창동 410-5,37.6102744,127.137706,4개,"3,738만원","171,590명","17,048명","38,600명",314만원
평내 DT,경기 남양주시 평내동 246-21,37.647998,127.23483,1개,"25,946만원","58,293명","9,366명","26,151명",316만원
진접DT,경기 남양주시 진접읍 장현리 218,37.7220147,127.1896496,2개,"4,857만원","106,689명","4,674명","10,506명",321만원
마석DT,경기 남양주시 화도읍 마석우리 481-2,37.6600182,127.3023431,4개,"2,677만원","57,830명","6,783명","20,068명",321만원
오산세교DT점,경기 오산시 내삼미동 466-1,37.1785643,127.0558738,2개,"7,097만원","55,530명","3,907명","10,961명",343만원
오산DT점,경기 오산시 원동 372-5,37.139911,127.073855,2개,"10,474만원","130,486명","13,927명","22,225명",329만원
군포산본DT점,경기 군포시 산본동 51-1,37.373413,126.936938,1개,"3,612만원","187,485명","14,904명","33,091명",322만원
군포당동SK DT,경기 군포시 당동 871-2,37.346099,126.943522,4개,"3,036만원","163,589명","11,119명","36,295명",354만원
의왕오전DT,경기 의왕시 오전동 207-1,37.356517,126.967186,2개,"12,459만원","76,672명","16,933명","21,138명",334만원
하남시청DT점,경기 하남시 신장동 522-5,37.540954,127.214961,3개,"3,033만원","86,379명","13,036명","39,190명",324만원
용인수지DT,경기 용인시 수지구 풍덕천동 43-5,37.3303186,127.1023476,2개,"28,227만원","150,551명","13,674명","24,100명",343만원
