name,address,lat,lng,Upso,SalesAmt,FlowPop,EmpEop,AbodePop,EmpAvgCo
대구앞산DT,대구광역시 남구 현충로 32 (대명동),35.835516,128.579871,54개,"1,511만원","82,525명","8,606명","14,400명",303만원
대구월곡DT,대구광역시 달서구 월곡로 225 (상인동),35.814866,128.541057,84개,772만원,"133,854명","15,843명","30,719명",305만원
대구중동DT,대구광역시 수성구 수성로 243 (중동),35.847384,128.612529,38개,864만원,"68,806명","11,552명","24,285명",319만원
대구방촌DT,대구광역시 동구 화랑로 389 (방촌동),35.87735849,128.6664953,37개,"1,075만원","85,538명","7,475명","19,846명",310만원
대구도원DT,대구광역시 달서구 상화로 314 (도원동),35.80781241,128.5481164,35개,732만원,"56,932명","7,948명","20,622명",303만원
대구중동네거리DT,대구광역시 수성구 청수로 51 (중동),35.840917,128.613963,57개,886만원,"86,308명","12,068명","20,415명",310만원
대구들안길DT,대구광역시 수성구 들안로 85 (상동),35.837524,128.61636,85개,"1,040만원","104,903명","13,130명","23,832명",319만원
대구만촌DT,대구광역시 수성구 달구벌대로 2636 (만촌동),35.85633663,128.6502328,44개,958만원,"127,159명","7,305명","12,705명",328만원
대구황금DT,대구광역시 수성구 청수로 164 (지산동),35.839069,128.625797,76개,"1,103만원","91,737명","12,292명","22,768명",309만원
국립대구박물관DT,대구광역시 수성구 청호로 318 (황금동),35.845491,128.639059,19개,"1,088만원","40,165명","4,870명","16,456명",322만원
대구상동DT,대구광역시 수성구 무학로 29(상동),35.8296424,128.6116932,33개,"1,413만원","67,929명","6,208명","11,407명",303만원
대구두산DT,대구광역시 수성구 지범로 37 (두산동),35.82728289,128.6258486,66개,"1,484만원","67,379명","10,856명","13,594명",315만원
대구각산역DT,대구광역시 동구 안심로 383,35.868908,128.7261214,42개,838만원,"132,237명","9,768명","26,738명",346만원
경산하양DT,경상북도 경산시 진량읍 대학로 1417,35.904849,128.823882,4개,"1,092만원","12,956명","1,597명","5,889명",333만원
대구현풍DT,대구광역시 달성군 현풍읍 비슬로 588,35.69152393,128.4447612,24개,991만원,"88,059명","4,387명","9,699명",347만원
영천완산DT,경상북도 영천시 영화로 272 (완산동),35.9670208,128.9488634,4개,576만원,"17,144명","1,544명","9,456명",323만원
경산임당역DT,경상북도 경산시 대학로 208 (계양동),35.83375032,128.7456583,32개,694만원,"40,945명","6,867명","4,196명",322만원
전북남원DT,전라북도 남원시 요천로 1477 (쌍교동),35.4038734,127.3828799,65개,738만원,"92,408명","4,924명","3,325명",313만원
경산중방DT,경상북도 경산시 경안로 222 (중방동),35.82740549,128.736778,58개,600만원,"99,671명","12,282명","16,519명",316만원
대구국가산단DT,대구광역시 달성군 구지면 국가산단대로 260,35.65263364,128.4180642,15개,908만원,"79,437명","2,123명","8,777명",352만원
포항초곡DT,경상북도 포항시 북구 흥해읍 동해대로 1354,36.09407364,129.3431826,19개,783만원,"16,049명",698명,"1,396명",328만원
포항법원DT,경상북도 포항시 북구 신덕로 287 (장성동),36.088505,129.385016,53개,753만원,"65,387명","5,410명","16,432명",325만원
